product,c_true,c_rand_mean,n_rand
Berrylicious,1.0000,0.2600,20
Verve Vale,1.0000,0.4200,20
Secret of Bandit,1.0000,0.2000,20
Spicy Day,1.0000,0.3600,20
Fancy Dress,1.0000,0.4100,20
Moz Art,1.0000,0.3400,20
Superclass Woman,1.0000,0.3400,20
Black Lax,1.0000,0.3800,20
Red Glass,0.6000,0.3100,20
Classic Vintage,1.0000,0.4100,20
Aquazone,1.0000,0.3200,20
Solstice,1.0000,0.3500,20
Our First Love,1.0000,0.4400,20
Pentavenue,1.0000,0.3100,20
Black Ball,1.0000,0.3500,20
Patchouli Petals,0.4000,0.2400,20
Bosi Bottle,1.0000,0.3300,20
Fuck Boy,1.0000,0.3100,20
Vandora,1.0000,0.2200,20
Authentic Discovery,1.0000,0.4400,20
Barbie,0.3333,0.1167,20
Maxima Gold,1.0000,0.4800,20
Blue Crocodile,1.0000,0.5200,20
Vicaro,0.3333,0.1404,19
My Crush,1.0000,0.2800,20
Five Years,1.0000,0.2900,20
How Deep,1.0000,0.4200,20
Sombrero,1.0000,0.4500,20
Woman In Love Never Cross,1.0000,0.4100,20
Bosa Nova,1.0000,0.3800,20
Victory,1.0000,0.4300,20
White Sense,1.0000,0.3688,20
Woman In Red,1.0000,0.3100,20
FOF,1.0000,0.4500,20
Bamboo Cici,1.0000,0.3500,20
Dark Ages,1.0000,0.3800,20
Foreo Ice,1.0000,0.3900,20
Silk Blossom,1.0000,0.3700,20
cinnabar,0.8000,0.2000,20
Zero Two,0.5000,0.4500,20
Vagabond,1.0000,0.3600,20
Jeep Shine,1.0000,0.3900,20
Mellifluous,1.0000,0.2100,20
Tow Combination,0.6000,0.4000,20
D sava,0.3333,0.1333,20
Zimba,1.0000,0.4632,19
Popular,1.0000,0.3000,20
eramusk,1.0000,0.4900,20
Champion Man,1.0000,0.4700,20
Silky Pink,1.0000,0.3900,20
Fit Woman,1.0000,0.4700,20
Eternal Sunset,1.0000,0.3500,20
In The Groove,1.0000,0.3300,20
Omniscient,1.0000,0.4100,20
Boomtown,1.0000,0.2900,20
Be Del Woman,1.0000,0.2900,20
Road Spice,1.0000,0.4600,20
Artemis,0.6000,0.4000,20
Dark Green,1.0000,0.3700,20
Forest,1.0000,0.3500,20
Mighty,1.0000,0.5833,20
Fresh Matcha,1.0000,0.4600,20
Gracias Garden,1.0000,0.4800,20
Haystack,0.7500,0.3875,20
Man in Green,1.0000,0.2800,20
Passion Art,1.0000,0.2900,20
Floral Noir,0.8000,0.3200,20
lost in space,1.0000,0.1900,20
Black Ford,1.0000,0.1800,20
Sweaty Man,1.0000,0.3900,20
Secret Code,1.0000,0.3583,20
Fast and Furious,1.0000,0.5100,20
Fiori Leys,1.0000,0.2526,19
silk safron,1.0000,0.3400,20
Classy Bless,1.0000,0.3100,20
CR 7,1.0000,0.4700,20
Blue Black,1.0000,0.3000,20
Badge,1.0000,0.4000,20
Ombredesire,1.0000,0.2400,20
Oudhi,1.0000,0.3368,19
Monarca,0.8000,0.3700,20
Forest Night,0.4000,0.3800,20
Oud Noir,1.0000,0.2200,20
Musk Oud,0.0000,0.2842,19
Bidden Rose,1.0000,0.3800,20
Groovy Glam,1.0000,0.3300,20
Devine,0.8000,0.3200,20
Pixie Petals,0.8000,0.3200,20
Rosella,0.6000,0.4100,20
Ebbio,0.8000,0.2100,20
Scent Vintage,1.0000,0.3200,20
White Luxury,0.8000,0.3300,20
Bright Sunshine,1.0000,0.3900,20
Truly,1.0000,0.4333,20
Ruby Red,0.5000,0.3750,20
Full Of Passion,1.0000,0.4316,19
Charmile,1.0000,0.3400,20
Marveiles,1.0000,0.3500,20
Green Steam,1.0000,0.4500,20
Valesca,1.0000,0.5700,20
Seven San,1.0000,0.4300,20
Celindion Sensation,1.0000,0.2500,20
Gempita,0.2000,0.3800,20
Waka-Waka,0.7500,0.2500,19
Mirage Moon,1.0000,0.3000,20
Candy Night,0.8000,0.3600,20
Glitter Glam,1.0000,0.3800,20
given sea,0.7500,0.2125,20
Callisto,0.8000,0.1579,19
Goo Squid,1.0000,0.3800,20
Cartir,0.0000,0.0000,20
Guci Gold,0.6667,0.1833,20
Ice Americano,0.8000,0.4200,20
Axcoffe,0.3333,0.1833,20
Black Cocain,1.0000,0.2900,20
Collector's Edition,0.3333,0.0333,20
Rose of The Sea,1.0000,0.4421,19
Sweet Sunshine,0.6667,0.2833,20
Queen Flowers,1.0000,0.4700,20
Born to Shine,0.6000,0.2200,20
Calypso,0.3333,0.1333,20
Particless,0.8000,0.3900,20
Samericek,0.4000,0.4600,20
Black Mirage,0.8000,0.1700,20
Dalal,0.3333,0.0667,20
Soxy,0.0000,0.2000,20
She Walf,1.0000,0.5500,20
Cassanova,0.3333,0.1333,20
Milazombie,1.0000,0.3800,20
Yiper,0.3333,0.1833,20
Heather Sweet,0.3333,0.1500,20
Jongleuse,1.0000,0.3700,20
Days Girl,0.4000,0.3600,20
Nozomi,1.0000,0.3400,20
Spookie,0.8000,0.5053,19
Green Eternity,1.0000,0.3200,20
Unicorn Lady,0.4000,0.3000,20
Twicy,0.8000,0.3700,20
High Lily,1.0000,0.3700,20
Endless Love,1.0000,0.4400,20
Just A Girl,1.0000,0.3300,20
Flower Mag,1.0000,0.4300,20
Glowing Face,1.0000,0.4200,20
Baorela,1.0000,0.4700,20
moonlit meadow,1.0000,0.3500,20
Gravy Glam,1.0000,0.4947,19
Lovin You,1.0000,0.2800,20
Durant,1.0000,0.2900,20
Scarlett Heels,1.0000,0.3600,20
The Master,1.0000,0.3500,20
Hughes,1.0000,0.4100,20
Blooming,0.0000,0.0000,20
Insider,1.0000,0.2800,20
Sweet Vanilla,0.6000,0.3800,20
Choc Choco,0.2500,0.1500,20
CR Seven,0.0000,0.1400,20
Mady Girl,1.0000,0.4750,20
Delight Blue,1.0000,0.2000,20
Ice Cream,0.0000,0.3750,20
Sauve Kiss,1.0000,0.5250,20
Ana Sweet,0.8000,0.3800,20
Nowadays Man,1.0000,0.3400,20
Accadiantaly,0.3333,0.1667,20
Red Sunset,1.0000,0.3600,20
Sauvage Classy,1.0000,0.2300,20
Tokyo 2020,1.0000,0.3100,20
One Sixty,1.0000,0.3474,19
Expose,0.8000,0.4100,20
Superclass Man,1.0000,0.4500,20
-,1.0000,0.4500,20
Sexy Killer,1.0000,0.3900,20
Dwelling,1.0000,0.5300,20
Elvishore,1.0000,0.4100,20
You So Lovely,1.0000,0.5100,20
Spices Fragrance,1.0000,0.5300,20
Glamour Glam,1.0000,0.4100,20
Jeep Black,1.0000,0.4211,19
Exits,1.0000,0.3800,20
Savile Row,1.0000,0.3700,20
Na Or Ya,1.0000,0.3200,20
Senyasen,0.8000,0.3600,20
Floresta,1.0000,0.5800,20
Solitary Man,1.0000,0.3700,20
Fornine,1.0000,0.4900,20
Rafi Ahmad Touch Rafatar,1.0000,0.4900,20
English M,1.0000,0.3300,20
Sweet Home,1.0000,0.3600,20
Black Square,1.0000,0.5100,20
Run Away,0.8000,0.2900,20
Iron Man,0.8000,0.3700,20
Excelsior,1.0000,0.3900,20
Be Mine,1.0000,0.4100,20
Shine Review,0.6000,0.4400,20
Black Snow,1.0000,0.3300,20
Moment of Truth,1.0000,0.4800,20
Timber,1.0000,0.5500,20
Groove Large,1.0000,0.4800,20
Conoir,1.0000,0.5500,20
Dorsava,0.6000,0.3300,20
Lugsary,0.8889,0.3333,20
Festive Love,1.0000,0.1895,19
Pyramid,0.7500,0.3500,20
Guardino,1.0000,0.3500,20
Haleef,0.4000,0.2900,20
Esava-X,0.6000,0.4316,19
Golden Dust,0.8000,0.3900,20
tobacco,1.0000,0.4200,20
Satnight,0.4000,0.5000,20
M Too Man,1.0000,0.2400,20
Dhuga Light,1.0000,0.2000,20
