cell_id,S1_oriental,S2_warm,S3_wftub,S4_idf,S9_tie,S11_eval,N_star,MRR_order1,MRR_order2,MRR_order3,MRR_order4,MRR_order5,MRR_order6,rq1_significant
C1,drop,warmspicy,wf,products,pessimistic,ALL,2,0.5049,0.5663,0.5681,0.5763,0.5765,0.5765,1
C2,drop,warmspicy,wf,products,pessimistic,NON_OP,2,0.4423,0.5093,0.5052,0.5097,0.5100,0.5100,1
C3,drop,warmspicy,wf,products,average,ALL,2,0.5101,0.5735,0.5754,0.5836,0.5838,0.5838,1
C4,drop,warmspicy,wf,products,average,NON_OP,2,0.4451,0.5123,0.5083,0.5130,0.5133,0.5133,1
C5,drop,warmspicy,wf,products,optimistic,ALL,2,0.5157,0.5808,0.5827,0.5911,0.5913,0.5913,1
C6,drop,warmspicy,wf,products,optimistic,NON_OP,2,0.4478,0.5154,0.5115,0.5165,0.5168,0.5168,1
C7,drop,warmspicy,wf,products_query,pessimistic,ALL,2,0.5309,0.5760,0.5812,0.5781,0.5802,0.5802,1
C8,drop,warmspicy,wf,products_query,pessimistic,NON_OP,2,0.4701,0.5146,0.5162,0.5194,0.5230,0.5230,1
C9,drop,warmspicy,wf,products_query,average,ALL,2,0.5367,0.5846,0.5906,0.5865,0.5887,0.5887,1
C10,drop,warmspicy,wf,products_query,average,NON_OP,2,0.4731,0.5177,0.5195,0.5225,0.5260,0.5260,1
C11,drop,warmspicy,wf,products_query,optimistic,ALL,2,0.5429,0.5933,0.6002,0.5951,0.5972,0.5972,1
C12,drop,warmspicy,wf,products_query,optimistic,NON_OP,2,0.4761,0.5210,0.5232,0.5257,0.5292,0.5292,1
C13,drop,warmspicy,floral,products,pessimistic,ALL,2,0.5049,0.5671,0.5681,0.5765,0.5765,0.5765,1
C14,drop,warmspicy,floral,products,pessimistic,NON_OP,2,0.4423,0.5093,0.5052,0.5102,0.5100,0.5100,1
C15,drop,warmspicy,floral,products,average,ALL,2,0.5101,0.5743,0.5754,0.5839,0.5838,0.5838,1
C16,drop,warmspicy,floral,products,average,NON_OP,2,0.4450,0.5123,0.5083,0.5135,0.5133,0.5133,1
C17,drop,warmspicy,floral,products,optimistic,ALL,2,0.5156,0.5816,0.5827,0.5913,0.5913,0.5913,1
C18,drop,warmspicy,floral,products,optimistic,NON_OP,2,0.4478,0.5154,0.5115,0.5170,0.5168,0.5168,1
C19,drop,warmspicy,floral,products_query,pessimistic,ALL,2,0.5301,0.5768,0.5812,0.5780,0.5802,0.5802,1
C20,drop,warmspicy,floral,products_query,pessimistic,NON_OP,2,0.4701,0.5146,0.5162,0.5193,0.5230,0.5230,1
C21,drop,warmspicy,floral,products_query,average,ALL,2,0.5359,0.5854,0.5906,0.5865,0.5887,0.5887,1
C22,drop,warmspicy,floral,products_query,average,NON_OP,2,0.4731,0.5177,0.5196,0.5224,0.5260,0.5260,1
C23,drop,warmspicy,floral,products_query,optimistic,ALL,2,0.5421,0.5941,0.6002,0.5951,0.5972,0.5972,1
C24,drop,warmspicy,floral,products_query,optimistic,NON_OP,2,0.4761,0.5210,0.5232,0.5256,0.5292,0.5292,1
C25,drop,drop,wf,products,pessimistic,ALL,2,0.5051,0.5659,0.5688,0.5774,0.5776,0.5776,1
C26,drop,drop,wf,products,pessimistic,NON_OP,2,0.4425,0.5095,0.5053,0.5099,0.5101,0.5101,1
C27,drop,drop,wf,products,average,ALL,2,0.5103,0.5731,0.5760,0.5847,0.5849,0.5849,1
C28,drop,drop,wf,products,average,NON_OP,2,0.4452,0.5125,0.5084,0.5132,0.5133,0.5133,1
C29,drop,drop,wf,products,optimistic,ALL,2,0.5158,0.5804,0.5834,0.5922,0.5924,0.5924,1
C30,drop,drop,wf,products,optimistic,NON_OP,2,0.4480,0.5156,0.5116,0.5167,0.5169,0.5169,1
C31,drop,drop,wf,products_query,pessimistic,ALL,2,0.5311,0.5761,0.5814,0.5782,0.5803,0.5803,1
C32,drop,drop,wf,products_query,pessimistic,NON_OP,2,0.4703,0.5147,0.5164,0.5197,0.5232,0.5232,1
C33,drop,drop,wf,products_query,average,ALL,2,0.5369,0.5847,0.5908,0.5867,0.5888,0.5888,1
C34,drop,drop,wf,products_query,average,NON_OP,2,0.4732,0.5179,0.5199,0.5228,0.5263,0.5263,1
C35,drop,drop,wf,products_query,optimistic,ALL,2,0.5431,0.5934,0.6004,0.5953,0.5974,0.5974,1
C36,drop,drop,wf,products_query,optimistic,NON_OP,2,0.4763,0.5213,0.5235,0.5260,0.5296,0.5296,1
C37,drop,drop,floral,products,pessimistic,ALL,2,0.5051,0.5667,0.5688,0.5777,0.5776,0.5776,1
C38,drop,drop,floral,products,pessimistic,NON_OP,2,0.4424,0.5095,0.5053,0.5103,0.5101,0.5101,1
C39,drop,drop,floral,products,average,ALL,2,0.5103,0.5739,0.5760,0.5850,0.5849,0.5849,1
C40,drop,drop,floral,products,average,NON_OP,2,0.4451,0.5125,0.5084,0.5136,0.5133,0.5133,1
C41,drop,drop,floral,products,optimistic,ALL,2,0.5158,0.5812,0.5834,0.5925,0.5924,0.5924,1
C42,drop,drop,floral,products,optimistic,NON_OP,2,0.4479,0.5156,0.5116,0.5172,0.5169,0.5169,1
C43,drop,drop,floral,products_query,pessimistic,ALL,2,0.5303,0.5769,0.5814,0.5782,0.5803,0.5803,1
C44,drop,drop,floral,products_query,pessimistic,NON_OP,2,0.4703,0.5147,0.5164,0.5196,0.5232,0.5232,1
C45,drop,drop,floral,products_query,average,ALL,2,0.5361,0.5855,0.5908,0.5867,0.5888,0.5888,1
C46,drop,drop,floral,products_query,average,NON_OP,2,0.4732,0.5179,0.5199,0.5227,0.5263,0.5263,1
C47,drop,drop,floral,products_query,optimistic,ALL,2,0.5423,0.5942,0.6004,0.5953,0.5974,0.5974,1
C48,drop,drop,floral,products_query,optimistic,NON_OP,2,0.4763,0.5213,0.5235,0.5260,0.5296,0.5296,1
C49,map,warmspicy,wf,products,pessimistic,ALL,2,0.5079,0.5658,0.5678,0.5758,0.5761,0.5762,1
C50,map,warmspicy,wf,products,pessimistic,NON_OP,2,0.4469,0.5088,0.5052,0.5097,0.5100,0.5100,1
C51,map,warmspicy,wf,products,average,ALL,2,0.5129,0.5730,0.5750,0.5832,0.5834,0.5835,1
C52,map,warmspicy,wf,products,average,NON_OP,2,0.4496,0.5118,0.5083,0.5130,0.5133,0.5133,1
C53,map,warmspicy,wf,products,optimistic,ALL,2,0.5180,0.5803,0.5824,0.5907,0.5909,0.5910,1
C54,map,warmspicy,wf,products,optimistic,NON_OP,2,0.4524,0.5148,0.5115,0.5165,0.5168,0.5168,1
C55,map,warmspicy,wf,products_query,pessimistic,ALL,2,0.5317,0.5753,0.5784,0.5776,0.5797,0.5797,1
C56,map,warmspicy,wf,products_query,pessimistic,NON_OP,2,0.4701,0.5144,0.5115,0.5194,0.5229,0.5229,1
C57,map,warmspicy,wf,products_query,average,ALL,2,0.5375,0.5839,0.5878,0.5861,0.5882,0.5882,1
C58,map,warmspicy,wf,products_query,average,NON_OP,2,0.4730,0.5176,0.5149,0.5225,0.5260,0.5260,1
C59,map,warmspicy,wf,products_query,optimistic,ALL,2,0.5436,0.5926,0.5974,0.5947,0.5968,0.5968,1
C60,map,warmspicy,wf,products_query,optimistic,NON_OP,2,0.4760,0.5209,0.5186,0.5257,0.5292,0.5292,1
C61,map,warmspicy,floral,products,pessimistic,ALL,2,0.5079,0.5666,0.5678,0.5761,0.5761,0.5762,1
C62,map,warmspicy,floral,products,pessimistic,NON_OP,2,0.4469,0.5088,0.5052,0.5102,0.5100,0.5100,1
C63,map,warmspicy,floral,products,average,ALL,2,0.5129,0.5738,0.5750,0.5834,0.5834,0.5835,1
C64,map,warmspicy,floral,products,average,NON_OP,2,0.4496,0.5118,0.5083,0.5134,0.5133,0.5133,1
C65,map,warmspicy,floral,products,optimistic,ALL,2,0.5180,0.5811,0.5824,0.5909,0.5909,0.5910,1
C66,map,warmspicy,floral,products,optimistic,NON_OP,2,0.4524,0.5148,0.5115,0.5170,0.5168,0.5168,1
C67,map,warmspicy,floral,products_query,pessimistic,ALL,2,0.5309,0.5761,0.5784,0.5776,0.5797,0.5797,1
C68,map,warmspicy,floral,products_query,pessimistic,NON_OP,2,0.4701,0.5144,0.5115,0.5194,0.5229,0.5229,1
C69,map,warmspicy,floral,products_query,average,ALL,2,0.5367,0.5847,0.5878,0.5861,0.5882,0.5882,1
C70,map,warmspicy,floral,products_query,average,NON_OP,2,0.4730,0.5176,0.5149,0.5225,0.5260,0.5260,1
C71,map,warmspicy,floral,products_query,optimistic,ALL,2,0.5428,0.5934,0.5974,0.5947,0.5968,0.5968,1
C72,map,warmspicy,floral,products_query,optimistic,NON_OP,2,0.4760,0.5209,0.5186,0.5257,0.5292,0.5292,1
C73,map,drop,wf,products,pessimistic,ALL,2,0.5081,0.5663,0.5681,0.5782,0.5783,0.5784,1
C74,map,drop,wf,products,pessimistic,NON_OP,2,0.4470,0.5094,0.5053,0.5099,0.5101,0.5101,1
C75,map,drop,wf,products,average,ALL,2,0.5131,0.5735,0.5753,0.5855,0.5857,0.5858,1
C76,map,drop,wf,products,average,NON_OP,2,0.4498,0.5124,0.5084,0.5131,0.5133,0.5133,1
C77,map,drop,wf,products,optimistic,ALL,2,0.5182,0.5808,0.5827,0.5930,0.5932,0.5932,1
C78,map,drop,wf,products,optimistic,NON_OP,2,0.4525,0.5154,0.5116,0.5167,0.5169,0.5169,1
C79,map,drop,wf,products_query,pessimistic,ALL,2,0.5319,0.5754,0.5785,0.5777,0.5798,0.5798,1
C80,map,drop,wf,products_query,pessimistic,NON_OP,2,0.4702,0.5146,0.5118,0.5197,0.5232,0.5232,1
C81,map,drop,wf,products_query,average,ALL,2,0.5377,0.5840,0.5880,0.5862,0.5883,0.5883,1
C82,map,drop,wf,products_query,average,NON_OP,2,0.4731,0.5178,0.5152,0.5228,0.5263,0.5263,1
C83,map,drop,wf,products_query,optimistic,ALL,2,0.5438,0.5927,0.5976,0.5948,0.5969,0.5969,1
C84,map,drop,wf,products_query,optimistic,NON_OP,2,0.4762,0.5211,0.5189,0.5260,0.5296,0.5296,1
C85,map,drop,floral,products,pessimistic,ALL,2,0.5081,0.5671,0.5681,0.5784,0.5783,0.5784,1
C86,map,drop,floral,products,pessimistic,NON_OP,2,0.4470,0.5094,0.5053,0.5103,0.5101,0.5101,1
C87,map,drop,floral,products,average,ALL,2,0.5130,0.5743,0.5753,0.5857,0.5857,0.5858,1
C88,map,drop,floral,products,average,NON_OP,2,0.4497,0.5124,0.5084,0.5136,0.5133,0.5133,1
C89,map,drop,floral,products,optimistic,ALL,2,0.5182,0.5816,0.5827,0.5932,0.5932,0.5932,1
C90,map,drop,floral,products,optimistic,NON_OP,2,0.4525,0.5154,0.5116,0.5172,0.5169,0.5169,1
C91,map,drop,floral,products_query,pessimistic,ALL,2,0.5310,0.5762,0.5785,0.5777,0.5798,0.5798,1
C92,map,drop,floral,products_query,pessimistic,NON_OP,2,0.4702,0.5146,0.5118,0.5197,0.5232,0.5232,1
C93,map,drop,floral,products_query,average,ALL,2,0.5368,0.5848,0.5880,0.5862,0.5883,0.5883,1
C94,map,drop,floral,products_query,average,NON_OP,2,0.4731,0.5178,0.5152,0.5228,0.5263,0.5263,1
C95,map,drop,floral,products_query,optimistic,ALL,2,0.5430,0.5935,0.5976,0.5948,0.5969,0.5969,1
C96,map,drop,floral,products_query,optimistic,NON_OP,2,0.4762,0.5211,0.5189,0.5260,0.5296,0.5296,1
